Column,Kiểu dữ liệu,Mô tả,Allowed Values / Range,Nullable,Key
promo_id,text/categorical,Mã khuyến mãi áp dụng,50 giá trị phân loại khác nhau,No,PK
promo_name,text/categorical,Tên chương trình khuyến mãi,50 giá trị phân loại khác nhau,No,
promo_type,text/categorical,"Loại giảm giá (percentage = theo %, fixed = số tiền cố định)",fixed; percentage,No,
discount_value,integer (lưu dạng float),Mức giảm giá,"min = 10, max = 50",No,
start_date,date (YYYY-MM-DD),Ngày bắt đầu khuyến mãi,2013-01-31 → 2022-11-18,No,
end_date,date (YYYY-MM-DD),Ngày kết thúc khuyến mãi,2013-03-01 → 2022-12-31,No,
applicable_category,text/categorical,Ngành hàng được áp dụng (trống = áp dụng tất cả),Outdoor; Streetwear,Yes,
promo_channel,text/categorical,Kênh chạy khuyến mãi,all_channels; email; in_store; online; social_media,No,
stackable_flag,integer,Cờ cho phép cộng dồn với khuyến mãi khác (1 = có),"min = 0, max = 1",No,
min_order_value,integer,Giá trị đơn tối thiểu để áp dụng khuyến mãi,"min = 0, max = 200000",No,
